dnn_hidden_1,dnn_hidden_2,dnn_hidden_3,mean_scores
20,30,0,0.5249365329742431
10,50,10,0.5249381184577941
0,0,0,0.5249385595321655
30,10,40,0.5249404788017273
10,30,0,0.5249440670013428
50,50,20,0.5249444842338562
50,30,10,0.524946928024292
10,30,10,0.5249481558799743
20,30,50,0.5249501585960388
30,50,10,0.5249505877494812
20,20,0,0.5249518156051636
40,10,50,0.5249532103538513
10,20,10,0.524953556060791
10,0,0,0.5249546885490417
10,20,30,0.5249565958976745
40,10,10,0.524958324432373
10,10,20,0.5249591827392578
30,30,50,0.5249607682228088
10,50,30,0.524961245059967
40,10,0,0.5249636173248291
30,20,20,0.5249656677246094
40,50,10,0.5249656796455383
10,30,30,0.5249657034873962
40,20,30,0.5249660968780517
20,0,0,0.5249663829803467
40,50,30,0.5249665141105652
50,20,0,0.5249671101570129
50,40,40,0.5249675393104554
20,50,10,0.5249684810638428
50,10,0,0.5249686360359191
20,20,20,0.524968683719635
40,0,0,0.5249687075614929
30,50,50,0.5249687194824219
10,20,50,0.5249693751335144
50,20,20,0.5249699234962464
10,40,10,0.5249702572822571
30,10,10,0.5249706864356994
40,20,0,0.5249707818031311
30,20,40,0.5249711871147156
40,40,20,0.5249719023704529
40,50,20,0.5249729871749877
30,30,10,0.5249736785888672
30,0,0,0.5249737739562989
40,30,30,0.5249741435050964
10,20,20,0.5249743103981018
40,30,20,0.5249743223190307
10,10,0,0.5249745965003967
50,10,50,0.5249747395515442
40,40,10,0.5249749541282653
40,30,50,0.5249749898910523
30,30,20,0.5249765157699585
40,50,50,0.5249766111373901
10,40,20,0.524977695941925
20,10,10,0.5249779224395752
30,10,30,0.5249784827232361
20,20,30,0.5249796509742737
20,10,0,0.5249796628952026
10,10,50,0.5249801874160767
40,10,20,0.5249802470207214
20,40,20,0.5249809265136719
20,30,20,0.5249809861183167
40,20,40,0.5249812245368958
30,10,50,0.5249814391136169
50,50,0,0.5249817967414856
50,10,10,0.5249818086624145
10,40,40,0.5249819040298462
30,30,30,0.5249821066856384
10,30,50,0.5249823808670044
40,40,30,0.5249837875366211
30,20,50,0.5249838709831238
10,20,0,0.5249839782714844
30,40,20,0.5249843955039978
50,10,20,0.5249848246574402
20,10,30,0.5249848365783691
30,20,0,0.5249851465225219
10,10,40,0.524985384941101
30,40,0,0.5249856829643249
40,20,20,0.5249864101409912
30,10,20,0.5249870657920838
30,30,40,0.5249871492385865
20,50,20,0.5249876141548157
10,30,40,0.5249876737594604
30,40,40,0.5249877095222473
10,40,30,0.5249877333641052
50,40,10,0.524988305568695
20,30,10,0.524988341331482
30,20,10,0.524988877773285
40,40,50,0.5249890685081482
20,40,10,0.5249895691871643
50,30,0,0.5249896049499512
10,40,50,0.5249899983406067
10,40,0,0.5249910116195678
30,40,30,0.5249912738800049
30,40,10,0.5249919772148133
10,20,40,0.5249923229217529
50,30,50,0.5249925374984741
50,40,0,0.524992561340332
10,50,0,0.5249934554100036
10,10,10,0.5249934554100036
20,40,40,0.5249942421913147
40,10,40,0.5249945044517517
20,50,30,0.5249945878982544
10,10,30,0.5249947071075439
20,10,40,0.5249951958656311
50,50,50,0.5249958992004394
30,50,20,0.5249959707260132
40,30,10,0.5249963283538819
20,20,10,0.5249966382980347
40,10,30,0.524996817111969
10,30,20,0.5249969482421875
30,50,40,0.5249981760978699
50,40,50,0.5249982476234436
20,40,50,0.5249982714653015
50,10,40,0.524998915195465
20,10,20,0.5249991178512573
20,40,0,0.5250006914138794
20,20,40,0.5250010371208191
40,40,0,0.525001049041748
30,20,30,0.5250014185905456
50,40,20,0.5250034689903259
40,20,10,0.5250035047531127
50,20,30,0.5250039339065552
20,40,30,0.5250043272972107
50,50,40,0.5250049591064453
20,30,40,0.5250054359436035
10,50,20,0.5250056505203247
50,30,40,0.5250060677528381
40,20,50,0.5250067353248596
50,30,30,0.5250080943107605
20,50,50,0.5250084638595581
40,50,40,0.5250087380409241
50,10,30,0.5250087976455688
50,30,20,0.5250093698501587
50,20,50,0.5250100374221802
30,40,50,0.5250127196311951
20,30,30,0.5250131607055664
10,50,50,0.5250141978263855
20,50,0,0.5250145316123962
50,50,30,0.5250156044960022
50,20,10,0.5250167489051819
30,50,0,0.5250174403190613
20,50,40,0.5250177025794983
30,10,0,0.525019371509552
40,50,0,0.5250194907188416
50,50,10,0.5250213503837585
40,30,0,0.5250244736671448
30,30,0,0.5250256896018982
30,50,30,0.5250308394432068
50,20,40,0.5250332355499268
50,40,30,0.5250428557395935
20,20,50,0.5250439524650574
50,0,0,0.5250481843948365
40,30,40,0.5250491976737977
40,40,40,0.5250529885292053
20,10,50,0.5250545859336853
10,50,40,0.5250789046287536
