dnn_hidden_1,dnn_hidden_2,dnn_hidden_3,mean_scores
10,20,20,0.5414028286933898
10,30,50,0.5414047360420227
20,10,30,0.5414052963256836
10,10,20,0.5414053916931152
50,20,30,0.5414105772972106
20,20,30,0.5414118647575379
30,50,30,0.54141206741333
10,40,50,0.5414125084877014
10,30,40,0.5414129495620728
30,20,10,0.5414131999015808
40,40,40,0.5414132237434387
50,0,0,0.541414225101471
10,10,40,0.5414157509803772
20,50,0,0.5414161562919617
20,20,10,0.541416335105896
50,40,40,0.5414173603057861
40,50,20,0.5414174318313598
10,30,10,0.5414180040359498
30,10,0,0.5414185881614685
50,40,30,0.5414186000823975
10,20,0,0.5414188981056214
40,10,0,0.5414190649986267
20,40,30,0.5414193272590637
50,40,0,0.5414196133613587
30,20,40,0.5414212703704834
30,50,0,0.5414225339889527
40,10,30,0.5414228558540344
0,0,0,0.5414229035377502
30,30,10,0.5414238929748535
20,30,20,0.5414242386817932
30,50,10,0.5414243221282959
10,30,0,0.5414243698120117
20,50,30,0.5414244771003723
50,50,10,0.5414258241653442
20,10,40,0.5414260268211365
10,40,10,0.541426706314087
20,40,10,0.5414267182350159
50,30,0,0.5414267659187317
50,30,20,0.5414270877838134
20,10,0,0.5414272546768188
40,20,0,0.541427493095398
10,20,30,0.5414276957511902
10,40,0,0.541427755355835
10,10,30,0.5414280414581298
10,30,30,0.5414280533790589
10,0,0,0.5414283275604248
30,40,0,0.5414285302162171
50,50,30,0.541428542137146
40,30,30,0.5414287567138671
10,50,0,0.5414289355278015
30,50,50,0.5414289355278015
20,40,40,0.541429591178894
40,10,50,0.541429853439331
30,40,10,0.5414301753044128
40,0,0,0.5414303779602051
10,10,50,0.5414305806159974
10,40,20,0.5414307832717895
50,10,50,0.5414308547973633
40,20,40,0.5414310336112976
20,20,20,0.5414310812950134
30,0,0,0.5414312362670899
30,50,40,0.5414315938949585
10,50,50,0.5414319515228272
50,10,30,0.541431999206543
20,10,10,0.5414322018623352
30,20,0,0.5414324164390564
40,20,20,0.5414326190948486
20,30,50,0.541432774066925
50,10,0,0.5414337515830994
40,50,0,0.5414340376853943
40,50,10,0.541434109210968
50,10,20,0.5414342880249023
30,30,20,0.5414347648620605
10,20,40,0.5414348483085633
30,40,20,0.5414357423782349
40,30,0,0.5414361715316772
20,40,0,0.5414366245269775
10,50,10,0.5414366483688354
50,20,20,0.541436779499054
30,10,50,0.5414374589920044
10,10,10,0.54143785238266
40,30,20,0.5414380073547364
40,40,20,0.5414381146430969
20,30,0,0.5414388418197632
20,40,50,0.5414388418197632
50,40,10,0.5414388656616211
50,50,20,0.541438901424408
30,20,20,0.5414390206336975
40,40,50,0.5414391756057739
30,10,40,0.5414392471313476
50,30,30,0.5414398789405823
50,50,0,0.5414401054382324
30,10,10,0.5414406895637512
40,30,10,0.5414408802986145
10,50,30,0.5414410710334778
10,50,40,0.5414414644241333
30,20,50,0.5414419412612915
50,10,40,0.5414427876472473
20,30,30,0.5414433717727661
40,40,30,0.54144366979599
50,20,0,0.541443693637848
30,30,30,0.5414438724517823
20,10,20,0.5414439558982849
10,10,0,0.5414447069168091
10,40,30,0.5414448380470276
50,40,50,0.5414452433586121
20,50,20,0.5414453864097595
10,40,40,0.5414454460144043
10,20,10,0.5414456129074097
40,10,40,0.5414459943771363
20,40,20,0.5414462924003601
50,50,40,0.5414463162422181
30,10,20,0.5414463400840759
30,40,40,0.5414469718933106
30,40,30,0.5414470076560974
10,50,20,0.5414475560188293
20,50,50,0.5414475917816162
30,50,20,0.5414477944374084
20,30,10,0.5414482593536377
50,20,50,0.5414492726325989
30,10,30,0.5414498329162598
40,40,0,0.5414501667022705
50,30,10,0.5414508700370788
50,40,20,0.5414510011672974
40,20,30,0.5414510369300842
50,30,40,0.5414511799812317
20,20,50,0.5414514064788818
30,20,30,0.5414514541625977
20,20,0,0.5414517164230347
40,50,40,0.5414521932601929
30,30,40,0.5414523124694824
40,40,10,0.5414538502693176
50,50,50,0.5414542436599732
40,50,50,0.5414545655250549
20,50,10,0.5414555430412292
40,50,30,0.5414558529853821
20,50,40,0.5414560198783874
10,20,50,0.5414560437202454
40,20,10,0.5414560794830322
20,30,40,0.5414575099945068
50,30,50,0.5414587259292603
50,20,40,0.5414590716362
40,10,10,0.5414591312408448
30,30,0,0.541459321975708
30,40,50,0.5414615154266358
40,10,20,0.5414648532867432
10,30,20,0.5414650082588196
20,0,0,0.5414698719978333
40,20,50,0.5414713859558106
50,20,10,0.5414714217185974
20,10,50,0.5414721369743347
40,30,40,0.5414721965789795
20,20,40,0.54147287607193
30,30,50,0.5414733052253723
40,30,50,0.5414737105369568
50,10,10,0.5414765238761902
