dnn_hidden_1,dnn_hidden_2,dnn_hidden_3,mean_scores
20,0,0,1.226843810081482
50,0,0,1.2268786668777465
20,20,10,1.2269048929214477
10,10,20,1.2269081592559814
10,40,40,1.2269260883331299
10,10,10,1.226931357383728
10,20,10,1.2269347429275512
30,10,0,1.226935911178589
10,30,10,1.2269399166107178
20,40,50,1.2269442558288575
10,40,20,1.2269460201263427
30,10,50,1.2269519567489624
50,20,50,1.2269582986831664
40,10,10,1.226962399482727
10,10,40,1.2269629955291748
0,0,0,1.226963424682617
50,50,10,1.226965308189392
30,50,0,1.2269691944122314
30,40,20,1.2269719123840332
50,40,10,1.2269858837127685
10,40,0,1.2269861459732057
30,20,30,1.2269869565963745
40,10,50,1.226987648010254
30,20,40,1.2269891977310181
40,40,40,1.2269906997680664
10,30,40,1.2269954442977906
10,0,0,1.2269962787628175
40,40,50,1.2269963502883912
30,30,0,1.2270000457763672
10,40,50,1.2270017385482788
20,30,0,1.227008581161499
30,50,20,1.2270086765289308
10,20,30,1.227016234397888
30,40,30,1.2270224571228028
10,20,20,1.2270243883132934
20,40,30,1.2270267486572266
20,50,30,1.2270296096801758
10,50,20,1.2270320415496827
20,20,20,1.227032446861267
30,30,50,1.2270362854003907
30,30,20,1.2270366191864013
20,40,10,1.2270376920700072
40,40,0,1.2270411252975464
50,20,0,1.2270436525344848
50,40,50,1.2270438909530639
50,10,30,1.227044439315796
20,20,50,1.2270444869995116
20,10,30,1.2270450592041016
40,20,50,1.2270477771759034
40,10,20,1.2270514965057373
10,30,30,1.2270516872406005
30,0,0,1.2270527839660645
30,30,10,1.2270531892776488
10,50,30,1.2270556688308716
30,50,30,1.2270561456680298
40,20,40,1.22706081867218
20,40,40,1.2270659685134888
10,30,20,1.2270729064941406
50,30,10,1.227073574066162
20,10,50,1.2270743608474732
20,40,20,1.2270758628845215
40,0,0,1.227077054977417
40,10,40,1.227078342437744
20,30,20,1.227078413963318
20,30,10,1.2270821332931519
50,10,50,1.2270830392837524
50,10,10,1.22708420753479
40,30,20,1.2270843744277955
20,50,40,1.2270855188369751
40,10,30,1.2270868062973022
20,20,0,1.2270870923995971
50,50,40,1.2270875692367553
10,50,40,1.227087926864624
50,40,30,1.2270971298217774
10,50,10,1.2270984172821044
40,20,10,1.2270992040634154
20,10,10,1.22710177898407
20,10,20,1.2271045207977296
40,50,10,1.2271066665649415
40,20,30,1.2271084547042848
40,20,20,1.2271103620529176
10,10,30,1.2271120309829713
10,30,50,1.2271128177642823
20,20,30,1.2271141529083252
10,10,0,1.2271179914474488
20,50,20,1.2271200180053712
10,40,10,1.2271233320236206
50,50,20,1.227128505706787
40,40,20,1.2271291494369507
30,30,30,1.2271305322647095
20,50,10,1.2271323919296264
50,50,30,1.2271337985992432
40,30,40,1.2271344661712646
30,10,30,1.2271356582641602
10,50,50,1.2271374464035034
10,30,0,1.227139687538147
50,40,40,1.2271405458450317
20,30,40,1.227141761779785
50,30,30,1.2271437644958496
50,20,40,1.2271441221237183
30,20,20,1.2271446466445923
20,50,0,1.2271525859832764
30,40,10,1.2271527290344237
10,20,0,1.2271586418151856
40,30,10,1.2271586656570435
50,10,20,1.2271596193313599
50,20,10,1.2271654844284057
30,20,10,1.227165937423706
40,10,0,1.2271659612655639
40,40,30,1.227166771888733
40,20,0,1.2271739006042481
50,30,50,1.227179217338562
10,20,40,1.2271819353103637
40,50,40,1.2271832466125487
40,50,20,1.2271838903427124
50,30,20,1.2271888494491576
50,20,30,1.2271967887878419
20,10,0,1.2272006750106812
50,10,0,1.2272015333175659
30,50,40,1.2272021293640136
20,30,30,1.2272043466567992
30,20,50,1.227205467224121
40,40,10,1.2272066116333007
40,30,30,1.227213191986084
30,10,20,1.2272154092788696
40,50,0,1.2272191524505616
50,20,20,1.227225375175476
20,40,0,1.2272262573242187
50,40,20,1.2272295951843262
40,30,0,1.227233076095581
40,50,30,1.2272339344024659
30,20,0,1.2272358894348145
30,50,50,1.2272393941879272
30,10,10,1.2272408485412598
30,10,40,1.2272486686706543
30,40,0,1.2272570371627807
50,10,40,1.2272592782974243
30,30,40,1.2272613763809204
10,10,50,1.2272676229476929
40,30,50,1.2272747039794922
30,40,40,1.2272793531417847
20,50,50,1.227281880378723
20,10,40,1.2272819995880127
10,40,30,1.227285099029541
10,20,50,1.2272865056991578
20,30,50,1.2272882461547852
50,50,0,1.2272949457168578
10,50,0,1.2272985458374024
50,50,50,1.227308487892151
50,40,0,1.2273120641708375
40,50,50,1.2273187398910523
50,30,40,1.2273301601409912
50,30,0,1.2273667097091674
30,50,10,1.2273915767669679
30,40,50,1.2274007558822633
20,20,40,1.2274307012557983
