dnn_hidden_1,dnn_hidden_2,dnn_hidden_3,mean_scores
10,40,0,0.4761965870857239
10,10,20,0.47620171308517456
50,10,30,0.47620607614517213
20,10,40,0.4762079417705536
20,30,20,0.4762092471122742
20,10,50,0.4762133717536926
50,10,20,0.4762147545814514
10,20,50,0.47621476650238037
20,50,50,0.4762150466442108
10,20,20,0.47621566653251646
10,40,10,0.4762169778347015
20,40,30,0.4762177109718323
10,10,50,0.4762185990810394
50,10,40,0.47622098326683043
20,40,50,0.47622125744819643
40,20,20,0.47622166872024535
40,10,30,0.47622201442718504
10,50,30,0.4762222468852997
50,30,50,0.4762224853038788
50,30,20,0.47622268795967104
40,10,50,0.4762231171131134
40,10,10,0.4762243449687958
10,20,40,0.47622491121292115
50,40,10,0.4762256622314453
30,20,30,0.4762256801128387
20,40,0,0.47622575163841246
20,10,10,0.47622585892677305
40,20,50,0.4762261986732483
10,50,0,0.476227217912674
10,30,40,0.47622823119163515
40,50,20,0.4762282967567444
20,20,30,0.47622949481010435
10,30,50,0.47622972130775454
50,30,0,0.4762303292751312
10,40,40,0.4762304961681366
50,30,30,0.47623187899589536
20,10,30,0.4762331247329712
30,40,10,0.4762336790561676
50,40,20,0.4762339651584625
30,10,20,0.4762341380119324
10,50,50,0.47623422741889954
30,40,0,0.4762343347072601
30,10,30,0.4762343347072601
30,20,10,0.4762345016002655
30,30,10,0.4762349009513855
10,10,40,0.4762350499629974
30,10,50,0.4762351155281067
10,50,40,0.4762351632118225
20,30,50,0.47623550295829775
50,50,50,0.4762356519699097
30,20,20,0.4762358427047729
50,20,40,0.47623594999313357
40,10,40,0.476235967874527
30,30,30,0.4762362837791443
10,20,30,0.47623631954193113
50,20,10,0.4762366831302643
30,50,20,0.4762368619441986
50,10,50,0.4762368857860565
50,20,20,0.4762376189231873
30,30,40,0.4762377798557281
10,10,30,0.47623829245567323
10,30,30,0.47623847126960756
10,10,10,0.4762385070323944
50,20,50,0.4762387156486511
20,10,20,0.4762390971183777
50,50,0,0.4762396037578583
40,30,30,0.4762399911880493
20,30,30,0.47624002695083617
40,10,20,0.4762402534484863
20,20,20,0.4762402713298798
50,10,10,0.47624056339263915
20,20,40,0.4762408256530762
30,40,20,0.4762410283088684
10,40,50,0.4762413203716278
10,40,30,0.4762414455413818
50,20,30,0.47624189257621763
50,40,40,0.47624250054359435
20,40,20,0.4762438595294952
40,30,20,0.4762445747852325
50,40,50,0.4762448489665985
40,30,10,0.4762455701828003
20,40,40,0.4762462317943573
50,50,20,0.4762469470500946
40,30,50,0.47624739408493044
10,20,10,0.4762478947639465
30,50,30,0.47624850273132324
30,10,40,0.4762485265731812
30,10,10,0.47624871134757996
20,20,10,0.47624900937080383
10,40,20,0.4762491166591644
30,20,40,0.47624927163124087
40,50,30,0.4762495160102844
10,50,20,0.47624982595443727
40,20,30,0.4762505769729614
40,40,0,0.4762506067752838
20,50,20,0.4762507021427155
50,30,40,0.4762512266635895
40,50,10,0.47625144720077517
40,40,20,0.47625147700309756
30,30,50,0.47625153660774233
30,50,50,0.47625209093093873
40,20,10,0.47625249028205874
30,20,50,0.47625440955162046
20,30,10,0.47625465989112853
10,30,20,0.47625482082366943
30,40,50,0.47625518441200254
40,40,50,0.47625521421432493
50,50,30,0.4762558102607727
40,40,10,0.4762569904327393
20,30,40,0.4762576580047607
40,40,40,0.4762582540512085
30,40,40,0.4762584984302521
50,40,30,0.4762596905231476
30,30,20,0.47626017332077025
30,50,10,0.4762602984905243
50,30,10,0.4762608468532562
30,20,0,0.4762611508369446
20,20,50,0.4762628138065338
40,40,30,0.47626333832740786
30,10,0,0.4762635469436646
20,30,0,0.47626429200172427
40,50,50,0.47626566886901855
20,50,30,0.4762657344341278
50,20,0,0.47626603245735166
30,50,40,0.47626611590385437
40,50,40,0.4762665033340454
20,40,10,0.47626675963401793
10,30,0,0.476267009973526
50,50,40,0.47626709938049316
40,30,40,0.4762675940990448
40,50,0,0.47626795172691344
10,20,0,0.4762690305709839
30,40,30,0.47626928687095643
50,10,0,0.4762702345848083
10,10,0,0.4762719810009003
30,50,0,0.47627261877059934
20,50,10,0.47627332210540774
10,50,10,0.4762763500213623
40,10,0,0.47627660632133484
40,20,40,0.47627879977226256
30,30,0,0.4762801766395569
20,50,40,0.4762804448604584
20,20,0,0.4762812852859497
50,50,10,0.47628159523010255
20,10,0,0.47628185749053953
10,30,10,0.4762841761112213
50,40,0,0.47628448009490965
20,50,0,0.47628769278526306
40,30,0,0.4762901127338409
40,20,0,0.47630640864372253
40,0,0,0.47632233500480653
10,0,0,0.476323676109314
0,0,0,0.47632930874824525
20,0,0,0.47634336948394773
50,0,0,0.47635465264320376
30,0,0,0.47637560963630676
