dnn_hidden_1,dnn_hidden_2,dnn_hidden_3,mean_scores
10,40,10,1.2200088024139404
10,50,20,1.2200138092041015
30,20,30,1.2200144290924073
0,0,0,1.2200186729431153
30,50,50,1.2200395822525025
30,10,40,1.2200494050979613
50,40,50,1.220050072669983
10,20,10,1.22008216381073
40,10,20,1.2200846433639527
50,10,20,1.2200868368148803
10,10,0,1.2200868606567383
10,10,10,1.2201077461242675
30,10,10,1.2201119422912599
10,20,0,1.2201140642166137
10,10,40,1.2201177835464478
10,50,40,1.2201209783554077
20,50,20,1.2201372146606446
30,50,40,1.2201418161392212
10,10,50,1.2201422452926636
20,50,50,1.220147705078125
30,20,10,1.2201547861099242
40,40,10,1.2201570272445679
40,20,10,1.2201572895050048
30,10,30,1.2201622009277344
50,50,10,1.2201647520065309
10,20,30,1.220168399810791
10,30,0,1.2201709508895875
10,50,30,1.2201714754104613
10,20,50,1.220173954963684
10,10,30,1.2201908111572266
40,20,20,1.2201951026916504
20,20,20,1.2202017068862916
10,40,40,1.220215392112732
10,30,10,1.220216941833496
30,50,20,1.2202204704284667
10,50,0,1.2202211141586303
10,10,20,1.220221495628357
50,10,30,1.220221996307373
20,40,20,1.2202226877212525
40,40,20,1.2202253103256226
10,0,0,1.2202264785766601
30,20,40,1.2202282667160034
20,30,50,1.2202322006225585
40,50,0,1.2202362775802613
30,10,20,1.2202369689941406
20,50,30,1.2202380418777465
40,50,10,1.2202381849288941
20,40,40,1.220238733291626
20,40,10,1.220240330696106
30,40,20,1.2202491283416748
20,10,40,1.2202492475509643
40,20,0,1.2202512979507447
50,50,30,1.2202642679214477
10,30,50,1.2202673435211182
10,20,40,1.2202682733535766
20,10,50,1.2202727317810058
10,30,30,1.2202767848968505
50,10,0,1.2202791452407837
50,20,30,1.2202791452407837
40,10,10,1.2202847242355346
50,40,40,1.2202919483184815
40,50,20,1.2202983856201173
20,40,50,1.2202998638153075
20,40,30,1.220303726196289
40,30,10,1.2203052282333373
10,30,20,1.2203052997589112
40,40,40,1.2203057527542114
20,40,0,1.2203081130981446
20,20,10,1.220320749282837
20,30,0,1.2203367233276368
50,40,10,1.2203381061553955
50,50,20,1.2203396558761597
20,10,30,1.2203505992889405
10,40,50,1.2203521490097047
30,30,10,1.2203590631484986
10,40,20,1.2203605413436889
40,30,30,1.2203627109527588
20,10,20,1.220362901687622
10,40,30,1.2203635454177857
10,40,0,1.2203685998916627
50,50,0,1.2203717470169066
10,20,20,1.2203753471374512
30,50,30,1.2203754663467408
10,50,50,1.2203815221786498
40,30,40,1.2203909635543824
30,50,10,1.2203972578048705
20,20,50,1.2203980445861817
50,40,0,1.2203994750976563
50,30,20,1.2204010009765625
50,30,50,1.2204010009765625
20,50,40,1.2204127311706543
30,20,0,1.2204171657562255
20,30,40,1.2204238414764403
20,10,10,1.2204259157180786
20,20,40,1.220427966117859
10,30,40,1.2204326868057251
20,50,10,1.220442771911621
20,20,0,1.220444416999817
40,10,0,1.2204495906829833
30,20,20,1.2204528331756592
20,30,10,1.2204593896865845
20,10,0,1.2204644203186035
50,30,10,1.2204710483551025
40,50,40,1.2204713106155396
40,40,0,1.2204741477966308
40,40,50,1.2204747200012207
50,30,30,1.220477533340454
40,50,30,1.2204792022705078
20,30,20,1.220488142967224
20,20,30,1.2204954624176025
30,40,40,1.2204972505569458
40,10,30,1.2204996585845946
20,30,30,1.2204999923706055
40,30,20,1.2205068349838257
30,10,50,1.2205143451690674
10,50,10,1.2205181121826172
50,30,0,1.2205181837081909
30,30,30,1.2205297231674195
40,30,50,1.220529842376709
50,10,50,1.2205310583114624
50,0,0,1.2205379486083985
30,40,10,1.2205405235290527
50,10,10,1.2205503225326537
50,20,10,1.220551562309265
30,10,0,1.2205914974212646
40,10,50,1.2205958843231202
30,30,20,1.2205977201461793
20,50,0,1.220600152015686
50,30,40,1.2206048250198365
40,10,40,1.2206110239028931
40,30,0,1.2206355094909669
30,40,30,1.2206368923187256
50,10,40,1.2206482887268066
50,20,50,1.22067391872406
40,40,30,1.220681095123291
40,50,50,1.220706033706665
40,20,40,1.220712375640869
30,40,0,1.2207147598266601
50,20,0,1.2207823991775513
40,20,50,1.2207963466644287
30,30,50,1.2208195447921752
30,30,40,1.220825743675232
40,0,0,1.220855975151062
30,20,50,1.2208563804626464
50,20,20,1.2208693981170655
30,50,0,1.220880961418152
20,0,0,1.2209498405456543
40,20,30,1.2209779262542724
50,50,50,1.2209784746170045
30,30,0,1.2209885120391846
50,40,20,1.2210061073303222
50,40,30,1.2210364103317262
30,40,50,1.221062922477722
30,0,0,1.2211007356643677
50,20,40,1.2212313890457154
50,50,40,1.2217060804367066
