dnn_hidden_1,dnn_hidden_2,dnn_hidden_3,mean_scores
0,0,0,0.522802197933197
40,50,30,0.5228049516677856
40,20,0,0.5228134751319885
10,10,40,0.5228135228157044
10,0,0,0.5228148698806763
10,40,50,0.5228150963783265
10,10,30,0.5228151202201843
20,40,50,0.5228151440620422
50,20,0,0.5228195667266846
40,20,50,0.5228216052055359
20,20,30,0.522823691368103
10,10,20,0.5228243231773376
20,0,0,0.5228243708610535
40,30,0,0.5228250384330749
30,10,50,0.5228253960609436
40,10,20,0.5228259325027466
40,40,30,0.5228286027908325
50,40,0,0.522828996181488
40,20,10,0.5228290796279907
20,30,30,0.5228304266929626
30,40,20,0.522830605506897
30,10,30,0.5228314161300659
30,50,10,0.5228317022323609
40,0,0,0.5228322148323059
10,50,10,0.5228326559066773
40,10,0,0.522833502292633
30,0,0,0.522834312915802
40,40,50,0.5228349208831787
40,40,20,0.5228349924087524
50,40,10,0.522835111618042
10,10,0,0.5228351593017578
40,40,0,0.5228356957435608
40,10,10,0.5228368520736695
20,30,40,0.5228368997573852
40,50,0,0.5228372693061829
10,50,0,0.5228374242782593
10,20,20,0.5228376984596252
10,30,20,0.5228378057479859
50,50,10,0.522839081287384
50,10,40,0.5228394627571106
40,30,20,0.522839629650116
50,50,0,0.5228406667709351
20,50,0,0.5228407144546509
20,10,30,0.5228412270545959
10,40,40,0.5228419423103332
10,40,10,0.5228422045707702
50,10,10,0.5228422164916993
20,40,10,0.5228426218032837
30,10,40,0.522842800617218
30,30,40,0.522843337059021
10,30,0,0.5228434920310974
30,30,0,0.522843599319458
40,40,10,0.5228455901145935
30,10,20,0.5228458523750306
30,10,0,0.5228469133377075
10,20,10,0.5228470206260681
30,10,10,0.5228471755981445
20,50,10,0.5228474974632263
10,30,30,0.5228476762771607
40,30,40,0.5228478670120239
10,20,30,0.5228481411933898
40,10,50,0.5228484153747559
40,20,40,0.522848904132843
20,20,50,0.5228489637374878
20,50,30,0.5228492617607117
50,30,0,0.5228495836257935
10,30,50,0.5228498101234436
40,10,40,0.5228500962257385
50,30,10,0.5228518366813659
40,30,10,0.5228519678115845
30,40,30,0.5228519678115845
30,50,20,0.5228525161743164
30,20,40,0.5228525400161743
30,50,40,0.522852647304535
50,20,40,0.5228527069091797
10,40,20,0.5228527903556823
40,10,30,0.5228540897369385
40,20,20,0.5228541970252991
10,10,10,0.5228545188903808
20,40,40,0.5228548049926758
30,20,30,0.5228548645973206
30,40,0,0.5228553533554077
50,50,30,0.5228557467460633
30,20,10,0.5228558897972106
30,30,30,0.5228559017181397
50,10,0,0.5228571414947509
30,50,50,0.522857415676117
50,20,20,0.5228577256202698
20,10,0,0.5228579640388489
20,10,10,0.5228596210479737
20,20,40,0.5228596210479737
30,40,10,0.5228604912757874
20,40,0,0.5228605031967163
20,10,20,0.5228606581687927
50,20,10,0.5228606700897217
20,40,30,0.5228609204292297
40,20,30,0.5228612303733826
10,20,0,0.52286137342453
50,40,40,0.5228625774383545
30,30,20,0.5228631615638732
40,30,50,0.52286418676376345
40,30,30,0.5228643894195557
20,50,50,0.5228649377822876
30,40,50,0.5228657245635986
50,50,40,0.5228657364845276
20,10,50,0.52286616563797
20,10,40,0.5228663682937622
10,40,0,0.5228669881820679
50,10,50,0.522867226600647
20,30,50,0.5228672862052918
20,30,10,0.5228673696517945
50,40,30,0.5228674292564393
30,20,50,0.5228676676750184
10,50,50,0.5228683829307557
50,0,0,0.5228693127632141
30,20,20,0.5228700637817383
30,40,40,0.5228705525398254
50,20,30,0.5228706240653992
30,50,0,0.5228712916374206
50,30,50,0.5228713154792786
40,50,40,0.5228715062141418
10,10,50,0.5228718042373657
30,30,50,0.5228726506233216
50,10,30,0.5228729367256164
10,20,40,0.5228730201721191
50,50,20,0.5228735089302063
20,20,10,0.5228739738464355
50,40,20,0.52287517786026
10,40,30,0.5228756546974183
10,50,30,0.5228768825531006
10,30,10,0.5228771924972534
40,50,20,0.5228773593902588
20,40,20,0.5228791236877441
50,10,20,0.5228791475296021
50,50,50,0.52287917137146
20,50,40,0.5228799939155578
50,30,30,0.5228801131248474
20,50,20,0.5228811025619506
10,20,50,0.5228829979896545
30,30,10,0.5228840827941894
10,50,40,0.5228848934173584
40,40,40,0.5228858351707458
20,20,0,0.5228871941566468
20,30,0,0.5228882431983948
30,20,0,0.5228895306587219
30,50,30,0.5228899121284485
50,30,40,0.5228907465934753
40,50,50,0.5228928208351136
20,20,20,0.5228941440582275
50,20,50,0.5228949189186096
10,50,20,0.5228978872299195
40,50,10,0.5229021430015564
50,40,50,0.5229049563407898
10,30,40,0.5229058861732483
20,30,20,0.522908616065979
50,30,20,0.5229193806648255
