dnn_hidden_1,dnn_hidden_2,dnn_hidden_3,mean_scores
50,30,0,0.5421031832695007
10,40,0,0.542106831073761
40,40,20,0.5421069979667663
30,40,40,0.5421118974685669
20,20,10,0.5421133875846863
30,10,0,0.5421143054962159
10,50,10,0.5421144604682923
0,0,0,0.5421144723892212
10,40,40,0.5421147465705871
10,20,40,0.5421152353286743
10,40,50,0.5421159267425537
10,20,30,0.542116105556488
30,0,0,0.5421170473098755
20,20,30,0.5421177268028259
20,20,0,0.5421179533004761
20,0,0,0.542118239402771
30,20,10,0.5421182513237
10,0,0,0.5421185255050659
10,30,40,0.5421195983886719
20,20,40,0.5421196341514587
20,30,10,0.5421200633049011
20,10,0,0.5421203970909119
30,10,40,0.5421209692955017
50,30,10,0.5421216368675232
30,20,30,0.542121946811676
50,20,30,0.5421221017837524
40,10,0,0.5421221494674683
50,20,40,0.5421228170394897
10,10,30,0.5421229243278504
30,50,0,0.5421230912208557
30,30,0,0.5421231389045715
10,10,0,0.5421232461929322
10,30,30,0.5421235799789429
30,40,30,0.5421236395835877
50,50,50,0.542123806476593
30,30,50,0.5421240925788879
20,50,30,0.542124617099762
30,50,20,0.5421251893043518
40,20,40,0.5421257257461548
30,40,50,0.5421258091926575
20,30,20,0.5421260118484497
30,40,0,0.5421260237693787
10,50,0,0.5421262383460999
20,30,50,0.5421272993087769
20,10,10,0.5421273112297058
50,10,0,0.5421274662017822
40,10,30,0.5421275615692138
40,40,30,0.5421277642250061
10,50,50,0.5421278953552247
20,40,0,0.5421279668807983
30,20,0,0.5421279788017273
50,20,10,0.5421281337738038
10,20,20,0.5421282768249511
40,20,30,0.5421285986900329
10,10,10,0.5421286344528198
10,30,0,0.5421286463737488
30,20,40,0.5421298027038575
40,30,30,0.5421298265457153
20,20,50,0.5421298265457153
20,10,30,0.5421301841735839
50,40,0,0.5421303153038025
40,10,50,0.5421307444572449
30,40,10,0.5421307921409607
30,20,50,0.5421310305595398
40,0,0,0.5421311020851135
20,40,40,0.5421311140060425
20,50,10,0.5421311497688294
10,30,50,0.5421315670013428
10,40,20,0.5421316146850585
40,20,0,0.5421319723129272
40,30,50,0.5421320199966431
20,40,10,0.5421323657035828
30,40,20,0.5421325087547302
10,10,50,0.5421330809593201
30,50,50,0.542133116722107
50,50,20,0.5421331286430359
10,40,30,0.5421331763267517
30,50,40,0.5421335697174072
30,10,20,0.5421342492103577
40,40,50,0.5421343684196472
20,40,20,0.5421343922615052
10,50,20,0.5421344757080078
20,50,20,0.5421345114707947
20,40,50,0.5421346187591553
40,30,20,0.5421346306800843
10,50,40,0.5421347975730896
20,30,0,0.5421351194381714
10,20,50,0.5421351194381714
40,10,20,0.5421351671218873
10,50,30,0.5421351671218873
50,20,0,0.5421351790428162
10,30,20,0.5421353101730346
50,50,10,0.5421353936195373
30,30,20,0.5421355485916137
40,20,20,0.5421355724334717
20,20,20,0.5421358466148376
50,10,50,0.5421361923217773
40,50,20,0.542136299610138
30,50,30,0.5421364426612854
40,30,10,0.542137086391449
10,40,10,0.5421371817588806
40,40,10,0.5421377062797547
10,30,10,0.5421383261680603
40,20,10,0.5421389460563659
30,30,10,0.5421389579772949
50,10,40,0.5421391367912293
10,20,10,0.5421395182609559
40,50,40,0.5421398878097534
50,50,0,0.5421399712562561
50,40,20,0.5421403765678405
10,10,40,0.542140531539917
50,30,50,0.542140531539917
20,50,0,0.5421407222747803
20,10,40,0.5421408891677857
50,50,40,0.5421408891677857
50,10,20,0.542141056060791
50,20,20,0.5421411871910096
10,10,20,0.542141342163086
50,10,30,0.5421416878700256
40,50,0,0.5421420931816101
20,40,30,0.5421424865722656
20,30,40,0.5421432256698608
20,50,50,0.5421434879302979
50,30,30,0.5421440958976745
40,50,30,0.5421441555023193
40,30,0,0.542144238948822
30,10,30,0.5421448349952698
50,10,10,0.5421460509300232
40,10,40,0.5421470284461976
50,30,20,0.542147958278656
50,0,0,0.5421481609344483
30,30,30,0.542148208618164
40,50,50,0.5421482205390931
30,10,50,0.542148494720459
20,50,40,0.5421485662460327
30,50,10,0.542149829864502
40,40,0,0.5421498894691468
20,10,50,0.5421503782272339
10,20,0,0.5421503901481628
40,50,10,0.5421504616737366
30,20,20,0.5421505093574523
50,50,30,0.5421509504318237
50,30,40,0.5421510338783264
40,10,10,0.542151153087616
50,20,50,0.5421528697013855
30,10,10,0.5421532988548279
40,20,50,0.5421545028686523
50,40,40,0.5421549320220947
40,40,40,0.542155385017395
20,10,20,0.542156171798706
20,30,30,0.5421567797660828
50,40,10,0.5421570897102356
50,40,50,0.5421572923660278
30,30,40,0.5421603202819825
50,40,30,0.5421625733375549
40,30,40,0.5421644806861877
