dnn_hidden_1,dnn_hidden_2,dnn_hidden_3,mean_scores
40,30,10,1.2216254234313966
30,40,30,1.2216695547103882
50,10,20,1.2216808080673218
30,30,20,1.2216937065124511
40,50,0,1.2216941356658935
30,20,10,1.2216982126235962
10,30,10,1.2217036485671997
10,20,10,1.221705937385559
40,10,10,1.2217083692550659
20,30,30,1.2217246294021606
20,10,10,1.2217246532440185
10,10,20,1.2217308044433595
10,20,40,1.2217312812805177
30,30,0,1.2217323780059814
10,10,50,1.2217328071594238
30,50,0,1.2217330932617187
20,20,0,1.2217415809631347
20,0,0,1.2217463254928589
20,50,40,1.2217474937438966
20,10,20,1.2217488288879395
10,20,0,1.2217509269714355
50,40,20,1.2217519521713256
50,10,40,1.2217529535293579
50,30,50,1.2217549324035644
40,40,30,1.2217558860778808
40,20,50,1.2217570066452026
10,40,30,1.2217598676681518
0,0,0,1.2217602252960205
30,10,10,1.22176251411438
40,30,50,1.2217645406723023
50,50,40,1.2217678785324098
20,50,0,1.2217687368392944
40,50,30,1.221774959564209
50,50,0,1.2217761278152466
30,20,0,1.2217790365219117
10,0,0,1.221781849861145
50,30,0,1.2217859745025634
50,20,10,1.2217872858047485
10,30,20,1.221789264678955
10,50,10,1.2217898607254027
50,10,50,1.2217909812927246
20,10,0,1.2217932224273682
20,30,50,1.221793293952942
40,50,20,1.2217960596084594
30,10,50,1.221797513961792
20,30,40,1.221798801422119
10,10,10,1.2217993497848512
20,10,30,1.2218013525009155
40,50,40,1.2218076705932617
30,30,50,1.2218091011047363
10,40,50,1.2218124628067017
10,40,40,1.2218161821365356
50,40,40,1.2218169689178466
40,30,40,1.221818995475769
10,50,20,1.2218196630477904
50,30,30,1.221820068359375
20,10,40,1.221821117401123
20,40,20,1.2218260049819947
10,50,30,1.2218268156051635
10,20,50,1.2218271255493165
50,0,0,1.2218281269073485
10,20,20,1.221833872795105
30,50,20,1.2218358755111693
50,50,20,1.2218372106552124
20,30,20,1.2218392610549926
20,30,10,1.2218416929244995
30,50,10,1.221842384338379
50,40,0,1.2218448162078857
10,40,10,1.2218485832214356
30,20,30,1.2218514442443849
50,40,50,1.2218523740768432
30,30,40,1.2218535184860229
30,0,0,1.2218538284301759
10,30,0,1.2218544244766236
10,10,0,1.2218554019927979
20,50,50,1.221855926513672
10,30,30,1.2218583822250366
40,40,10,1.2218631267547608
20,40,0,1.2218635559082032
30,50,40,1.2218636751174927
20,50,30,1.221865725517273
40,40,20,1.2218665838241578
30,50,30,1.2218667268753052
30,10,30,1.2218684911727906
10,40,0,1.221868634223938
40,40,50,1.221870446205139
40,10,40,1.2218710899353027
30,40,10,1.2218758583068847
30,40,20,1.2218778371810912
20,20,30,1.2218780517578125
40,10,0,1.2218786239624024
40,10,20,1.2218796730041503
10,50,40,1.2218798637390136
10,10,30,1.2218830347061158
40,40,40,1.2218847513198852
10,40,20,1.221884846687317
20,30,0,1.2218854665756225
50,50,10,1.221888780593872
50,10,0,1.2218894481658935
50,10,10,1.221891951560974
40,20,40,1.2218952417373656
50,30,40,1.2218957901000977
30,40,50,1.221896266937256
50,10,30,1.221897339820862
40,10,30,1.2218980073928833
10,50,0,1.2218981981277466
50,20,40,1.2218983173370361
40,20,20,1.2218986988067626
40,20,0,1.2218993425369262
50,50,30,1.2219025135040282
50,50,50,1.2219025373458863
50,40,10,1.2219051837921142
20,20,10,1.221905255317688
20,50,10,1.2219060420989991
40,10,50,1.2219062328338623
20,20,20,1.2219069242477416
30,20,40,1.2219130277633667
30,20,50,1.221913456916809
30,10,40,1.2219154357910156
40,30,30,1.221917200088501
40,40,0,1.2219189167022706
40,50,10,1.2219190835952758
10,10,40,1.221921181678772
20,20,40,1.2219245910644532
20,40,30,1.221927523612976
50,40,30,1.2219296932220458
30,30,10,1.2219377517700196
20,10,50,1.2219383001327515
40,30,0,1.2219413995742798
30,50,50,1.2219417572021485
40,20,10,1.2219429969787599
50,30,20,1.2219452142715455
10,20,30,1.2219468116760255
30,20,20,1.2219488382339478
20,40,10,1.2219489336013794
30,40,0,1.221949863433838
20,50,20,1.2219507455825807
40,30,20,1.2219557523727418
20,40,50,1.2219661712646483
40,0,0,1.2219661951065064
30,10,20,1.2219664812088014
50,20,30,1.2219669818878174
20,40,40,1.2219673156738282
10,30,50,1.221970295906067
30,30,30,1.2219718456268311
40,20,30,1.2219833135604858
50,30,10,1.2219840288162231
50,20,20,1.2219857215881347
30,40,40,1.221993637084961
40,50,50,1.2219963312149047
20,20,50,1.2219991445541383
30,10,0,1.2220032691955567
50,20,0,1.2220101833343506
10,50,50,1.2220196008682251
10,30,40,1.222039484977722
50,20,50,1.2220507621765138
