Actual,CL,HGLM,HGBM,HXGB,HDNN,HCANN
55434.00,55122.77,55190.42,55310.18,55280.10,54304.08,56387.96
54469.00,54728.74,54740.30,54563.52,54600.20,54643.30,54987.36
55184.00,54635.38,54656.94,54876.90,54933.52,53420.00,54807.56
54421.00,54758.83,54527.52,54679.52,54759.50,54151.30,55005.60
54189.00,54690.00,54458.62,54510.68,54483.40,54777.78,55110.80
55106.00,54241.95,54606.90,54752.38,54781.10,53831.32,55539.18
54258.00,53872.44,54131.96,54119.18,54019.08,53462.32,54585.00
54065.00,53971.44,54226.28,54214.02,54307.20,52152.82,54910.22
55338.00,54751.68,55213.22,55793.46,55539.84,54314.88,55888.42
54836.00,54043.32,54535.80,55265.34,54702.98,53501.16,55929.68
54662.00,55488.47,55154.66,54933.18,54979.88,53669.20,55333.22
54914.00,54143.66,54467.78,54653.28,54599.28,55736.34,55864.22
55095.00,55237.12,55076.72,54890.36,55110.94,56839.40,54676.98
55205.00,54446.17,54835.68,55130.62,54371.84,53292.34,55259.76
54841.00,54753.67,55111.18,55077.24,54898.72,54792.48,55288.20
54817.00,55084.04,55283.88,55529.84,55382.26,55915.46,55936.64
55425.00,55217.79,55334.56,55624.02,55618.84,55528.10,55571.58
54629.00,54671.20,54406.70,54476.12,54382.44,56822.72,54913.74
55069.00,54870.21,54875.42,55074.30,54869.16,54541.88,54459.50
54646.00,55142.18,55009.82,54926.28,54892.40,55627.08,54558.58
54731.00,54469.97,54296.24,54189.24,54042.68,53236.30,53324.06
54382.00,54632.31,54663.38,54760.02,54661.86,54956.78,54278.64
54603.00,54477.02,54706.38,55017.68,54745.78,54438.80,55004.68
55331.00,54141.27,54610.54,54918.86,54601.82,54507.98,56244.60
54128.00,54526.74,54524.44,54693.16,54603.02,56296.72,55636.74
54164.00,54518.54,54414.08,54493.46,54350.96,53351.42,53892.66
54872.00,54478.54,54468.04,54560.16,55723.96,57229.94,54922.10
54532.00,54846.38,54422.68,54539.44,54743.60,54302.76,54650.28
54731.00,54416.69,54494.18,54647.44,54334.98,53364.08,53657.28
54738.00,54057.41,54862.10,55014.78,55075.58,52480.66,54973.94
54199.00,55362.05,54880.00,54682.44,54876.60,53360.08,54842.32
54464.00,54648.93,54758.30,54779.10,54877.54,52178.50,54876.34
55627.00,54586.61,55224.82,55309.66,55229.20,54400.48,55937.10
54271.00,54747.70,54334.46,54511.70,54362.70,52364.78,52762.78
54948.00,55137.18,55162.72,55308.30,55219.80,56030.52,55991.78
54682.00,55277.53,54730.94,53970.56,54832.02,53572.08,54097.46
54315.00,54237.19,54136.02,54170.14,54167.06,52543.32,54042.66
54764.00,54510.41,54832.08,54868.98,54900.18,54162.54,54180.38
54636.00,54520.56,54444.76,54363.42,54415.96,53916.36,54711.32
54695.00,54793.98,54454.44,54435.50,54466.04,54731.72,55107.90
55333.00,55191.31,55190.80,54986.10,55058.06,53962.62,54892.78
54414.00,54717.49,55011.48,55268.78,54868.42,55207.60,54839.90
54140.00,54487.07,54223.40,54188.14,54425.60,53044.28,54644.66
54927.00,56037.27,55778.36,55587.70,55836.80,56717.76,57415.88
54362.00,54110.07,54172.98,54291.10,54013.00,52963.40,53445.44
54513.00,54735.76,54232.90,53892.06,54166.14,50368.64,53704.50
54673.00,53999.02,54414.56,54610.86,54485.30,54239.78,53658.62
54653.00,53985.55,54435.42,54652.36,54550.26,54712.56,55516.42
54802.00,54812.91,54840.98,55028.60,54903.84,55136.94,56011.30
54200.00,54116.44,53905.10,53992.90,54126.08,53112.22,53694.10
54844.00,55104.37,55132.68,55055.36,54899.70,55560.62,55119.86
54777.00,54352.07,54988.58,55116.82,55021.16,55254.52,55323.92
54742.00,54377.16,54146.64,54147.42,54070.46,54201.84,54027.88
55118.00,54757.87,54815.56,55011.50,54966.14,53153.00,55061.10
54303.00,54591.06,54440.44,54359.66,54420.50,54194.46,54028.14
54209.00,53752.34,53653.18,53588.22,53512.88,53472.10,54120.26
54562.00,54936.69,54771.32,54888.00,54977.26,53853.44,56335.80
54752.00,54546.29,54123.18,53961.68,54004.44,53688.36,54917.90
55066.00,55098.80,55329.74,55169.10,53090.42,55793.46,57618.18
55004.00,55555.59,55106.70,54767.38,55015.88,54878.32,53806.56
55392.00,55059.61,55161.58,55320.22,55096.06,53612.06,55175.10
54790.00,54243.22,54893.36,55253.94,55079.54,55266.06,54994.22
54389.00,54261.83,54403.96,54561.16,54526.80,52758.44,54357.60
54898.00,54977.07,54981.28,55191.84,55451.86,55550.58,54631.30
53722.00,54932.66,54261.82,53524.26,51719.28,52517.14,54164.68
54598.00,54461.26,54574.06,54868.50,54515.34,54028.52,55772.12
54744.00,54995.46,54751.98,54692.76,54906.70,55730.88,54775.06
55032.00,54199.32,54293.00,54447.06,54244.94,52890.12,55091.78
54173.00,54569.19,54131.02,54226.20,54232.24,54853.56,53862.32
54273.00,54953.90,54714.10,54834.24,54822.62,54162.82,53579.42
54172.00,54332.46,53898.54,53831.32,53040.74,53980.96,52492.06
54126.00,54278.50,54624.32,55205.84,54730.92,56472.82,54694.14
54346.00,55004.52,54941.54,55025.08,54976.98,55724.88,55594.50
54359.00,54323.61,54126.42,54139.46,53815.80,53194.70,52626.84
54345.00,54505.27,54258.72,54276.38,54560.86,51440.92,53823.10
54906.00,54376.40,54517.84,54680.14,54544.56,53824.32,54737.82
54240.00,54927.07,54757.14,54552.68,54858.18,53459.80,55291.16
55149.00,54924.68,55158.08,55411.06,55293.40,54225.96,56320.48
55014.00,55009.68,55548.74,56057.32,55704.56,56088.00,56273.54
54943.00,54062.90,54138.54,54255.26,54139.72,53692.22,53817.32
54621.00,54248.04,54394.90,54708.42,54535.44,53596.84,55174.48
54670.00,54271.78,54953.72,54928.58,54849.88,55959.98,54951.06
54221.00,54525.05,54191.84,53703.46,54148.96,51656.38,54492.32
53909.00,54215.70,53922.30,53490.40,54084.80,53305.90,54460.18
53933.00,53680.95,53971.78,54206.80,53866.12,52250.34,54343.54
54798.00,54890.59,54716.26,54406.68,53070.26,54441.80,54260.58
54264.00,54888.28,54631.62,55161.38,54548.02,55154.02,55780.04
54459.00,55211.68,54721.12,54824.64,54538.48,53573.18,54275.92
55075.00,54885.21,54679.06,54697.66,54630.20,54225.96,55097.68
54485.00,54283.75,54510.98,54702.68,54519.96,54312.28,56207.12
54376.00,54931.30,54959.62,54779.92,54890.14,54718.92,55709.40
54504.00,55169.72,54863.48,54872.62,55000.92,52779.90,54626.04
53954.00,54316.89,54103.92,54261.48,54288.58,53937.46,54417.92
54848.00,54775.38,54761.32,54944.10,55158.82,55339.90,55744.38
55277.00,54099.61,54827.92,55218.98,54757.16,54958.60,55283.16
54074.00,54118.56,53825.20,53353.96,52415.86,52209.86,53656.16
54945.00,55300.72,54865.02,55145.08,55067.00,54369.92,55222.34
54163.00,55179.19,54345.64,54136.20,54605.34,53534.74,54370.50
53790.00,53946.77,53672.18,53502.80,54027.82,52658.36,53304.84
54674.00,54221.89,54560.16,54397.14,54501.94,52542.40,55385.50
