Actual,CL,HGLM,HGBM,HXGB,HDNN,HCANN
51521.00,51504.86,51425.26,51457.18,51467.92,50695.44,52415.58
50512.00,50774.63,50820.18,50616.46,50760.38,50429.10,51332.52
51583.00,50975.40,51057.02,51165.14,51004.88,48556.42,50891.72
50802.00,50523.94,50665.16,50651.80,50630.54,50427.58,50576.86
50437.00,50821.04,50838.68,50624.76,50856.34,50242.06,51373.00
51417.00,50813.11,50889.90,51017.64,50838.30,50384.32,51529.60
50556.00,50161.43,50215.64,50140.94,50162.66,49980.50,50517.74
49944.00,50074.73,50128.00,50104.00,50219.90,50336.94,50653.16
51505.00,51495.10,51514.48,51986.34,51447.58,50931.88,51877.12
51051.00,50607.15,50702.12,51431.44,50609.94,50392.16,52188.24
51016.00,51203.28,51439.04,50968.82,51387.40,49926.66,50694.32
50795.00,50838.81,50750.84,50872.94,50696.34,51874.62,52904.06
51395.00,51237.38,51146.14,50931.28,51272.10,51920.82,49935.20
51422.00,51000.98,51151.44,51528.98,51030.76,50079.16,51540.08
50997.00,51281.82,51149.32,51080.56,51050.96,51855.42,51270.30
50921.00,51347.09,51330.30,51474.78,51253.74,51168.54,51696.48
51787.00,51422.70,51444.18,51704.72,51531.80,51184.64,51471.30
50728.00,50789.74,50630.38,50679.90,50691.78,52120.12,50703.94
51341.00,50919.78,51070.98,51180.58,51022.86,50406.78,50447.98
50647.00,51237.28,51309.20,51139.92,51289.76,51178.18,50755.58
50717.00,50510.08,50248.96,50203.04,50276.12,48901.18,48458.92
50455.00,50892.91,50771.90,50882.38,50874.02,51279.88,49949.74
50844.00,50660.68,50831.30,51121.46,50887.30,50615.06,50830.50
51484.00,50592.88,50576.32,50922.44,50611.62,51815.98,52184.36
50278.00,50746.10,50548.10,50574.28,50451.18,50976.94,51219.30
50311.00,50266.45,50264.92,50362.82,50192.84,49768.36,49822.48
51147.00,50537.29,50464.26,50473.94,51488.34,51762.18,50366.62
50759.00,50522.59,50398.86,50438.56,50498.78,50510.30,50153.20
51101.00,50413.88,50735.98,50887.96,50635.48,49705.00,49744.22
50759.00,50966.05,51121.28,51181.60,51104.68,49350.44,51562.20
50223.00,51018.79,50927.24,50812.94,50946.64,49543.42,50665.68
50663.00,50817.84,50977.48,51000.00,51094.08,50254.62,50912.80
51805.00,51207.81,51234.32,51297.56,51188.72,50916.14,52139.76
50103.00,50568.26,50308.50,50454.96,50219.72,49455.38,49465.16
51058.00,51042.36,51157.56,51233.28,51138.54,50925.20,51098.14
50750.00,50697.82,50593.04,49585.96,50623.18,50296.30,49039.04
50315.00,50335.51,50324.38,50250.44,50291.30,50075.20,50020.94
50782.00,50908.62,50793.28,50902.16,50871.52,50571.32,49722.10
50794.00,50544.75,50720.88,50551.74,50710.20,51219.48,50234.44
50928.00,50837.25,50733.92,50657.38,50637.66,49836.68,51123.06
51557.00,51367.14,51341.66,51069.22,51264.46,50186.54,50954.90
50643.00,51320.61,51183.72,51474.70,51167.38,52402.46,51274.34
50366.00,50129.59,50234.92,50007.62,50242.08,48330.42,50691.66
50851.00,51747.65,51724.18,51519.44,51726.16,51393.92,52849.54
50801.00,50362.90,50413.58,50552.42,50436.46,49687.06,50076.20
50841.00,50096.09,50241.42,49809.94,50158.00,47934.74,49736.08
50595.00,50738.15,50736.00,50954.70,50860.76,49220.68,50857.52
50552.00,50388.17,50429.30,50575.72,50512.14,49677.32,50798.56
50898.00,51201.11,50957.56,51043.22,50990.54,51250.96,51582.52
50644.00,50148.89,50188.38,50086.16,50230.68,48821.92,49820.80
50903.00,51137.18,51156.20,51150.58,51087.86,51197.08,51994.38
50947.00,51027.56,51030.80,51075.88,50985.44,50603.24,51135.54
50920.00,50502.15,50187.92,50124.48,50196.76,49841.74,49843.58
51193.00,51077.15,50902.60,51101.10,50988.30,50343.38,51309.06
50380.00,50285.25,50363.18,50218.64,50162.20,50053.64,49782.10
50360.00,49777.30,49825.60,49707.86,49747.30,49186.50,49980.78
50394.00,51110.79,51072.00,51028.48,51137.96,50140.94,52774.88
50980.00,50352.23,50257.74,49983.36,50275.52,50177.52,50643.90
51137.00,51364.00,51219.50,51074.04,48698.78,52380.26,53214.30
51064.00,50929.60,50873.38,50311.76,50817.54,49881.28,49376.12
51607.00,51228.06,51379.48,51502.64,51373.10,49445.94,50931.04
50770.00,50852.43,50869.26,51251.48,51022.82,52230.20,51363.96
50946.00,50334.78,50583.98,50587.84,50642.60,49531.72,49979.40
51286.00,50687.11,50786.84,50695.62,50864.60,48898.90,49836.98
49920.00,50320.92,50263.60,49338.94,47241.70,48263.96,50233.40
50961.00,50692.18,50658.60,50913.58,50629.76,49610.10,50847.40
50908.00,50808.20,50707.04,50468.14,50735.60,51286.90,50635.38
51251.00,50560.18,50576.98,50673.26,50521.14,50346.76,50868.88
50375.00,50304.18,50383.26,50350.78,50371.18,51499.82,50106.62
50233.00,51032.46,50950.78,50991.34,50976.78,50116.02,50893.46
50454.00,49913.07,49820.32,49658.78,48547.00,49229.94,47310.42
50016.00,50912.47,50867.68,51489.00,50850.06,51638.16,51004.10
50701.00,50806.69,50757.60,50792.34,50731.70,51393.54,51199.96
50594.00,50158.45,50159.44,50198.64,50179.70,49443.30,48393.18
50581.00,50795.73,50586.96,50653.24,50793.14,48799.36,50250.50
50959.00,50670.72,50787.86,50948.00,50838.96,49445.66,50547.32
50437.00,50831.74,50870.22,50571.72,50862.94,50665.16,51450.42
50942.00,51332.75,51188.42,51355.98,51202.80,50345.72,51931.46
51120.00,51541.65,51421.86,51922.68,51374.78,50963.94,51957.48
51071.00,50317.46,50262.48,50283.40,50230.02,49198.84,49468.46
50695.00,50581.56,50559.58,50882.00,50644.52,49254.26,51119.16
50909.00,50974.73,51145.98,51172.68,51064.94,50623.12,51142.52
50644.00,50460.45,50425.76,49723.12,50475.32,48182.26,50286.64
49889.00,50021.72,50086.26,49425.66,50126.62,50345.36,49762.30
49798.00,50288.04,50136.96,50403.48,50120.70,49400.56,50631.30
51245.00,50729.54,50834.96,50388.36,48715.56,50400.50,50543.32
50336.00,50922.88,50841.34,51327.42,50678.58,49732.62,50557.94
50517.00,50887.12,50954.94,50920.26,50911.10,50374.40,50511.46
51148.00,51006.35,50846.06,50774.94,50811.54,50969.66,51334.60
50598.00,50610.66,50563.24,50693.62,50574.14,49752.36,51468.46
50494.00,51018.39,51038.94,50839.70,50995.26,51219.00,50951.56
50741.00,50773.89,50938.56,50877.26,50997.46,49203.00,50121.08
50283.00,49939.09,49935.16,50019.34,50009.20,49165.62,49806.04
51243.00,50760.56,50984.00,50984.20,51070.98,51399.84,51134.68
51368.00,50583.14,50663.58,51091.18,50630.18,51173.92,51072.62
50042.00,50474.98,50307.06,49706.82,48617.50,49494.18,50382.74
51081.00,50956.08,50906.04,50989.26,50893.58,49496.00,50971.20
50158.00,50552.97,50454.74,50005.94,50481.32,48743.60,49718.70
50143.00,49765.90,49913.26,49516.66,49917.86,47885.66,49973.40
50976.00,50776.55,50654.04,50393.68,50538.98,50771.82,51694.82
