Actual,CL,HGLM,HGBM,HXGB,HDNN,HCANN
68009166,68366064,68157307,68486209,67637537,67768194,70219364
65872786,67113952,67536270,66934449,67211789,68836952,67301445
67390228,66787115,66033396,65336202,65402789,64114579,65849660
66319648,65775961,66169653,65363652,65152440,64727319,66207532
65693362,65493560,65015377,65918040,65585698,67155717,65965394
67630282,65255679,65927198,65167979,65326314,65285588,66663413
66347997,63124886,63648675,63312679,63141035,64635724,64223823
65096248,66785737,66393935,66535832,66058162,67965226,67623567
67907141,66292423,67389982,67770788,67262421,61998788,68323639
66987938,66584187,67916054,69064309,67753219,65871380,70188511
66829369,67297543,66796401,65695070,65528594,64070391,66198623
66999808,64597353,65500112,65400323,65220234,67609930,67361531
67026265,67422993,67361498,66733911,67313388,67523984,66029848
67681890,66668272,67871070,68386869,67591894,66992722,68052974
67798069,65765888,66601777,66152950,66202593,68283981,66798237
67360810,64779937,65611262,65126916,64838711,66032266,66107247
67613995,67502187,67624705,67789443,67239699,68258414,67618366
66374659,67073066,66843620,66916713,66687275,73532879,67455515
67584751,67613089,67095303,67336018,67204654,65485427,66460002
66408688,65708876,66875115,65511285,65397183,66171521,65831383
66347689,67926699,67600349,67204909,67045040,66231774,65392189
65538357,66925276,66470226,67205077,66401895,67486905,65519411
66891276,67174717,67598647,67546070,66796343,66969406,67657136
67080069,66553738,67217479,67436397,66946833,68657179,70086883
65356203,66377804,66190203,66752438,66743129,69602742,67497958
66648508,64284662,65610912,66004655,65613234,63470696,64507636
67009723,67687629,66840287,66209300,70020867,67825550,67280752
66372140,68019987,66551096,67500202,67471774,73175964,66658012
67212344,66461261,65632701,65468802,64684993,66997006,65053732
65834502,66181313,67320324,67770602,67686906,66830910,67792844
66979250,66740908,66777812,65863238,66302993,62759516,66426903
66431005,65403562,65631468,64997324,66958964,65156505,65698918
67559026,66588429,67780372,67433246,67777343,69891114,68516694
66377428,69145669,68165283,68366922,67600845,64640433,65412319
67462502,65725206,65348682,66226913,65432118,69093534,66378291
66797334,67016140,66805133,65928021,67000004,69606006,65385494
66735629,65692856,66151605,64780659,65055407,60966173,65724116
67170388,66051406,66892758,66010453,66132803,66336993,65196916
67042524,65546154,65833750,66053709,65797158,62271016,65651652
66616612,68211668,67371496,67163134,68328201,63929552,68051353
67459893,69843440,69522855,68399567,68833640,69523653,69032800
65898993,66270179,66468478,66258132,65654072,64877596,65544787
65666612,65441505,65124755,64471317,64753887,63202320,65677089
65832678,68742652,68167785,68876002,69055531,70055018,70497240
65851817,65162653,65572012,65538432,64704650,62745805,63828666
66396631,66903234,66118342,66475183,66521805,64628892,65275437
66140652,65868206,66309028,67190753,66792470,65756578,65232571
66009954,67277262,67613249,67883592,67344998,67189660,69027298
66672302,67282194,67658322,67055763,67453014,65239998,68796704
65728824,65536790,65356231,64887985,65361542,63666787,64605367
66983164,67841646,67274021,67766247,67354049,69259581,67272942
66685586,64386184,65495861,65018436,65259572,63749700,65537585
67234555,66851620,65728071,65626364,65288601,64980709,65433108
67759727,65738138,66310817,66044791,65997730,64252557,66420417
66295181,67014630,66651905,66370212,66485897,64009870,65645488
65864443,63939488,64090201,63347086,63853394,63971833,64967295
66888433,65258279,65250996,65086246,65308485,63070379,67604960
67406938,67015970,66183337,65661233,65641442,64061339,67146174
67384676,69061214,69164211,68840137,65781122,68831999,72429939
66873255,66830925,66015308,64846091,64937878,68691446,63351091
67553054,67199528,67194480,66757940,66566296,66413015,66606989
67204493,66143042,67172321,67901380,67563547,69073834,67211646
66108361,67172017,66791233,67137402,67534580,66766598,66483037
67243831,65665259,67289337,67426152,67020108,67599323,65855506
65754216,66874539,66070484,64507991,61597223,64445625,65631349
66906891,67079877,65942253,67499680,66545676,64996296,67179690
67002492,68111524,67538164,66893056,67001139,73283007,66751964
67355178,67046403,66879312,67108901,67038259,66480598,67873672
65607091,64694949,64652608,64325595,64557681,68152341,64059778
66693672,66335594,67222856,65510510,65158913,65961280,65438059
65605357,65519842,65247324,65145034,64735789,66406041,62156486
65604098,66486528,67124009,68102034,67573247,68988079,67611174
65461999,66580431,66768250,65563606,65710642,62934351,67326892
65662809,66518841,66790147,67221795,65916027,67815934,63904884
67035261,67352059,66838818,66415328,67752215,63701150,65730040
66405308,67645082,68443536,68224881,67636643,66756295,68315920
67134422,69748723,68835806,68347877,69258920,69148605,69048789
67506764,67158379,67942755,68879224,68500715,67522880,69427017
67268024,67450908,67996960,68444602,67733435,66665745,68644123
66960867,64279772,64399816,64517932,64046742,63705673,63439376
65933618,64748903,65301020,65341781,64876885,64251695,66252728
65923506,66858743,67460598,67581575,67565521,71045268,67329692
66651640,65084440,64089025,63342512,64520849,59963058,64331390
65499299,63962998,64072060,62837769,63701311,63760141,64379437
65972850,66916371,68196751,69196864,67922779,68354721,68852425
66635282,66866979,66869509,65767709,63595388,68818932,65465083
65943697,66999660,67549662,67951580,67163920,68121539,68600636
67075705,69282575,68326779,68501250,68946170,65197926,67031059
67588276,65329669,65511606,65122196,64922706,63584941,65797322
67191492,67048257,68358644,67729903,67524522,67188729,71066492
65917460,67606685,67821721,67702140,67172392,69548439,68651579
67046688,66718618,67320367,66983109,66709782,63109702,66141105
65640023,66832948,66187069,66048424,66306768,66095811,66199577
67092690,66103524,66375360,66330580,66417511,68438158,67819965
67779727,62991433,64438854,64881094,64473192,62778015,65279294
65569327,66922299,66035628,65263224,64152233,63969561,65519646
66905914,66256239,66040631,66520419,66227533,66333697,65718536
65465344,65276938,64586173,64163796,64851603,62043007,64243610
65623887,64221655,64258775,63866176,64324557,66177102,63483461
66893101,65371959,66216121,65936391,65154741,65539899,67187196
