    eta max_depth mean_scores best_nrounds
1  0.05         3   0.5601867          142
2  0.20         2   0.5602734           38
3  0.05         2   0.5602831          160
4  0.30         2   0.5602932           20
5  0.10         2   0.5604136           62
6  0.10         4   0.5606253           59
7  0.10         3   0.5607017           45
8  0.20         3   0.5607028           26
9  0.05         5   0.5609035           88
10 0.20         4   0.5609206           20
11 0.30         4   0.5609498           14
12 0.30         3   0.5611211           14
13 0.10         5   0.5612335           39
14 0.05         4   0.5612351           92
15 0.30         5   0.5614859           12
16 0.30         1   0.5614965           62
17 0.20         1   0.5615770          129
18 0.05         1   0.5615987          392
19 0.10         1   0.5616620          157
20 0.05         6   0.5617250           91
21 0.05         7   0.5621831           74
22 0.20         5   0.5624807           21
23 0.10         6   0.5626297           36
24 0.30         7   0.5626382           11
25 0.20         6   0.5628207           18
26 0.05         8   0.5629844           62
27 0.20         7   0.5633137           16
28 0.30         6   0.5635912            9
29 0.10         8   0.5639153           31
30 0.10         7   0.5641857           31
31 0.05         9   0.5643703           60
32 0.20         8   0.5643999           13
33 0.30         9   0.5644103            9
34 0.10         9   0.5644451           31
35 0.20         9   0.5651080           14
36 0.30         8   0.5654878            8
