    eta max_depth mean_scores best_nrounds
1  0.30         1   0.6212574           39
2  0.20         1   0.6213614           56
3  0.10         1   0.6214531          144
4  0.10         2   0.6215393           69
5  0.05         3   0.6215475           87
6  0.05         1   0.6215485          230
7  0.05         2   0.6215765          102
8  0.30         2   0.6215797           17
9  0.10         3   0.6215850           47
10 0.20         3   0.6216005           22
11 0.20         2   0.6216274           27
12 0.20         4   0.6217635           15
13 0.30         4   0.6219401           13
14 0.05         5   0.6220496           58
15 0.10         5   0.6220665           29
16 0.10         4   0.6221059           30
17 0.20         6   0.6223586           13
18 0.05         4   0.6223705           76
19 0.30         3   0.6224491           10
20 0.30         5   0.6224700            9
21 0.05         6   0.6225538           57
22 0.10         6   0.6225647           30
23 0.30         6   0.6227169            9
24 0.20         5   0.6230226           14
25 0.20         7   0.6235866           11
26 0.30         7   0.6237541            8
27 0.05         7   0.6237763           65
28 0.10         8   0.6238517           25
29 0.05         9   0.6238818           50
30 0.10         7   0.6240501           26
31 0.20         9   0.6240575           11
32 0.05         8   0.6242661           51
33 0.20         8   0.6243250           12
34 0.30         8   0.6245070            8
35 0.10         9   0.6246495           24
36 0.30         9   0.6257679            6
