    eta max_depth mean_scores best_nrounds
1  0.05         1    1.247385          830
2  0.20         1    1.247410          289
3  0.10         1    1.247645          435
4  0.30         1    1.247956          150
5  0.10         2    1.249408          213
6  0.20         2    1.250227          106
7  0.30         2    1.250415           70
8  0.05         2    1.251957          406
9  0.20         3    1.252713           75
10 0.10         3    1.253794          151
11 0.05         3    1.255593          288
12 0.30         3    1.256802           42
13 0.05         4    1.259299          265
14 0.30         4    1.260028           43
15 0.10         4    1.262026          123
16 0.05         5    1.264938          247
17 0.20         4    1.266238           65
18 0.10         5    1.266299          120
19 0.20         5    1.273899           60
20 0.30         5    1.273984           39
21 0.20         6    1.281007           59
22 0.10         6    1.281405          116
23 0.05         6    1.282658          232
24 0.30         6    1.287836           36
25 0.20         7    1.293152           57
26 0.10         7    1.296023          114
27 0.05         7    1.298919          225
28 0.30         7    1.307703           36
29 0.05         8    1.316838          224
30 0.10         8    1.317265          113
31 0.20         8    1.318188           55
32 0.30         8    1.322351           36
33 0.30         9    1.330347           35
34 0.10         9    1.330912          106
35 0.05         9    1.332716          217
36 0.20         9    1.338182           54
