Actual,CL,HGLM,HGBM,HXGB,HDNN,HCANN
59079.00,61224.55,59961.26,60099.80,59852.62,60417.40,60095.44
57984.00,58166.50,58109.56,58210.72,58349.72,58676.00,57681.12
57790.00,58537.29,57767.40,57584.08,57815.86,58420.40,57087.86
58578.00,59094.43,59031.06,59123.18,59178.52,59669.70,59650.24
58964.00,60763.32,59234.06,59177.60,59470.04,57603.40,60101.22
58301.00,59187.95,58648.06,58890.26,58839.18,57327.62,59899.92
57945.00,58219.61,57305.12,57441.96,57399.02,55664.12,55506.64
57644.00,57701.60,57181.84,57750.70,57208.76,58185.08,55692.98
58137.00,58191.13,57558.20,57401.86,57307.84,57954.10,57618.62
57926.00,58365.50,58358.42,58419.58,58478.34,58233.06,57897.32
58352.00,58960.48,58582.32,58708.54,58975.16,57290.34,58164.56
58016.00,58690.82,58522.80,58501.96,58796.02,57710.58,59510.10
58875.00,61388.32,59519.14,59545.10,59684.82,59205.50,60747.44
58028.00,57784.19,57660.66,57495.56,57474.24,57207.70,57391.04
59785.00,60640.55,59627.04,59333.78,59476.68,61501.48,59838.90
57623.00,57508.81,57696.30,57930.08,57612.56,57171.72,57798.08
58932.00,59315.77,58558.84,59007.06,58698.46,59628.94,59246.74
59291.00,59204.32,59460.76,59731.70,60052.14,61115.28,58424.74
58276.00,56614.68,57984.74,58717.66,58049.96,58708.68,59343.54
56856.00,57431.28,57256.82,57146.56,57297.22,56972.12,57614.46
57919.00,57988.27,57391.00,57187.68,57286.20,57907.70,57419.04
57688.00,59246.19,57804.98,57978.28,57814.80,56677.40,57404.82
57445.00,58480.26,57771.42,57877.32,58075.22,57789.14,58669.60
58849.00,58740.19,58144.90,58267.70,58346.48,58446.58,58278.34
58612.00,60574.56,58866.98,59035.42,58886.84,58740.58,57571.84
58542.00,59785.19,58726.24,58801.74,59020.00,60072.02,58726.06
57245.00,57906.94,57290.92,57217.18,57287.96,58231.96,57212.30
57820.00,57144.49,57125.46,57265.16,57122.70,56780.34,56905.20
58616.00,57699.90,57693.36,57952.18,57924.60,58384.48,57715.08
59146.00,60224.26,59161.82,59142.92,59405.38,60767.02,58283.46
58562.00,60788.73,58906.12,58535.00,59008.92,59294.06,58619.60
58508.00,58146.37,58195.16,58322.94,58173.12,59225.24,57175.26
58169.00,56724.39,56833.08,56840.52,57188.88,56875.92,57739.56
58453.00,59791.72,58928.04,59131.26,59250.12,59558.12,59868.14
57309.00,57478.56,57455.34,57423.26,57311.54,58640.44,57044.08
58547.00,58277.67,57939.30,58091.04,58008.56,57188.50,58188.34
57218.00,56996.34,56863.00,57085.86,56975.00,56817.16,57067.98
57268.00,57338.89,56899.30,57003.30,57026.52,56377.64,56804.88
57755.00,57922.40,57583.86,57734.22,57718.26,57523.82,57195.02
57248.00,57366.43,57281.38,57376.86,57319.04,55843.52,56353.60
56443.00,57562.21,57351.76,57385.64,57167.96,58255.02,57757.44
58926.00,59246.87,58036.52,58152.94,58192.78,58713.00,59795.92
56831.00,56974.26,56876.24,56881.36,56797.58,54484.36,56538.38
56716.00,57968.86,57525.50,57462.18,57665.50,55631.34,55932.36
56989.00,57892.37,56914.42,57027.18,56941.86,56690.74,56468.16
58671.00,59907.76,58440.88,58504.46,58571.60,57875.14,58784.66
56611.00,57109.45,56449.54,56333.20,56488.84,55661.88,56343.10
57511.00,57624.01,57591.66,57583.24,57389.50,57349.52,57275.80
57394.00,57417.95,57844.32,58064.36,57847.10,56181.68,57675.64
57567.00,57620.41,57579.76,57948.20,57652.34,56995.92,57315.70
57356.00,58401.45,57455.30,57326.96,55645.74,56186.70,56158.58
56950.00,56894.58,56586.16,56462.48,56706.98,55740.70,56271.90
57721.00,58232.09,58206.56,58551.52,58443.16,58661.84,58529.86
57470.00,57469.57,57556.12,57717.64,57579.78,55246.20,58176.46
58448.00,59249.26,58797.24,58991.96,58921.34,57679.16,59035.42
57168.00,56733.48,56880.98,57163.16,56880.34,57963.96,56357.22
59066.00,59725.34,59586.68,59967.26,59524.22,59834.54,58431.34
56991.00,58227.30,57477.24,57576.86,57554.22,57168.94,57596.40
57598.00,57686.68,57717.06,57723.94,57593.92,59312.68,58482.12
57992.00,57646.88,57341.28,57532.92,57575.16,55888.02,56737.12
57340.00,58445.25,57925.84,57664.40,57878.66,58492.00,59329.60
59417.00,58934.17,58855.40,58857.14,58832.76,59278.60,58552.96
57366.00,57642.78,57207.18,56993.78,57165.86,58086.98,57332.90
59046.00,60255.86,59000.76,59244.14,58800.84,58840.20,58631.80
58814.00,60355.44,58784.30,58657.96,59305.76,59575.42,60805.38
58202.00,58310.97,58131.80,58141.92,58238.76,59836.44,58489.78
