Actual,CL,HGLM,HGBM,HXGB,HDNN,HCANN
55093.00,55802.10,55882.72,55899.48,55796.86,55409.02,56276.58
53754.00,54329.08,54191.96,54147.06,54152.70,54678.88,53757.04
53981.00,53862.26,53881.94,53530.82,53880.50,52665.40,53215.18
54594.00,55036.65,55157.04,55099.90,55146.16,55333.68,55745.20
55122.00,55232.29,55207.44,55000.92,55210.50,52739.02,55882.34
54698.00,54119.65,54314.00,54311.38,54171.70,53743.68,54688.62
54149.00,53488.38,53532.62,53603.10,53565.80,52666.92,51594.22
53694.00,53257.63,53139.86,53689.08,53244.50,52837.00,51399.26
54286.00,53394.71,53550.10,53243.64,53383.28,52585.92,53327.46
53941.00,54422.95,54629.40,54655.28,54565.80,55438.24,54250.66
54524.00,54719.77,54583.08,54468.56,54725.12,52403.14,53910.22
54382.00,54859.24,54977.36,54861.40,54958.94,55431.44,56222.74
54981.00,55450.88,55508.08,55386.72,55370.62,54396.14,55765.20
54146.00,53897.43,53946.52,53834.48,54015.70,54657.06,53906.36
55705.00,55762.45,55794.14,55539.18,55829.96,56365.88,56281.82
53749.00,53656.78,53781.96,54033.34,53717.36,54147.08,54593.18
55048.00,55022.26,55194.28,55436.82,55224.82,53976.02,55063.74
55084.00,55347.87,55289.74,55443.44,55756.86,55399.92,54175.12
54357.00,53837.08,53936.90,54720.80,53974.38,55544.92,56065.64
53103.00,53159.25,53375.50,53162.64,53257.92,53126.06,53249.50
54391.00,53510.55,53676.80,53309.74,53489.98,52694.82,52674.88
53929.00,53845.67,54106.48,54199.14,54112.10,52492.46,53780.40
53683.00,53957.00,53971.36,53993.94,53943.70,52133.92,54134.08
54952.00,54554.50,54702.08,54774.50,54800.50,54675.18,54657.82
54489.00,54857.81,54954.54,55036.70,54794.94,53674.08,52887.50
54807.00,54494.12,54614.88,54421.06,54615.04,54344.96,53665.54
53248.00,53241.18,53378.28,53166.74,53436.26,52205.68,52850.42
53894.00,52966.22,53116.26,53253.02,52994.88,53181.74,53015.56
54644.00,53880.16,53742.60,53886.60,53749.64,53851.46,52654.68
55276.00,54939.99,55018.24,54849.96,54871.70,56652.22,53800.20
54756.00,54615.17,54991.36,54367.28,55083.80,55359.66,54606.52
54609.00,54096.08,54380.72,54475.94,54339.68,54635.60,52988.40
53983.00,53195.29,53170.98,53104.24,53201.06,53444.08,53391.16
54566.00,54820.43,54947.00,54928.44,54940.30,53218.16,55455.92
53448.00,53187.27,53347.78,53142.72,53118.72,52782.38,52586.38
54613.00,54248.81,54175.92,54469.80,54312.94,54507.54,55116.98
53544.00,53165.05,53199.00,53264.36,53240.94,53581.92,53189.40
53689.00,53127.20,53143.02,53131.50,53133.26,53089.12,52823.42
53806.00,53621.34,53644.10,53735.34,53694.88,53520.18,52186.34
53601.00,53274.26,53349.52,53370.62,53404.86,52697.36,53223.08
52547.00,53304.06,53470.96,53329.00,53371.58,52686.56,53716.30
55203.00,54357.38,54524.56,54453.56,54546.14,54014.76,55155.56
53054.00,52898.47,53206.26,53141.58,53070.74,52114.10,53762.44
52702.00,53507.30,53528.58,53396.16,53550.56,53254.92,52340.72
53284.00,53229.40,53333.12,53372.32,53289.52,51619.50,52321.74
54839.00,54658.61,54702.94,54663.04,54899.56,51940.92,54869.48
52822.00,52395.65,52535.34,52381.34,52455.74,51318.66,52497.78
53795.00,53893.36,53874.96,53867.58,53855.18,52133.00,52773.36
53339.00,53866.28,53716.32,53960.16,53711.98,52952.22,53387.04
53776.00,53543.78,53655.30,54029.38,53650.38,53760.38,53647.22
53399.00,53568.41,53498.24,53317.58,51120.02,52856.32,52284.96
