Actual,CL,HGLM,HGBM,HXGB,HDNN,HCANN
69755532,74597146,73318422,73160729,72476055,72746130,73266544
69893903,70595238,71127286,70373778,70515923,71454694,70289852
68837964,69714465,68593466,67768169,68845068,67447091,67524552
69272492,70468728,70800500,70137519,69873829,70131996,71483944
69785442,73363037,71260109,71399634,71155378,70866658,72954423
70192486,72608070,71984078,70860032,70865380,72427544,73482084
68795135,70399622,68491051,69616760,69232593,69949082,65115627
69866504,69270411,68768224,69978141,68591779,70683091,65892903
69445210,70443368,68887004,68213915,68508602,68624667,68629063
69388281,70324799,70698697,70340566,70703373,70215283,69297014
70326978,73432165,72930211,73035978,72846578,67144299,71702156
69660502,70565996,70688672,71003271,71314923,71289878,72590938
70450521,73146775,70820645,71024522,70237717,68165420,72589889
69471846,70926880,70445232,70384233,70215827,72310915,69786455
72199584,74773840,73287071,72490025,73590692,74618871,73120353
69200435,70305464,69928571,70818565,70378575,74023248,70298332
70217003,71404746,70393716,71069990,70934829,71140923,70676577
71763240,72445155,72398981,72721537,73654312,73716723,70615337
69642167,69034646,71921280,71985845,70984172,69433230,73912019
68341749,69504806,69393659,69027619,69462172,71299638,70028204
69875877,69548095,68707332,67891361,68153416,67880509,68226424
68600806,71057912,69740516,69441313,69592504,67295913,68866081
69500962,71732537,71110903,70697688,71300935,72584436,72244254
70013951,70341823,69080108,69464340,69476042,67657460,68654516
69367792,71539968,69742312,69636597,69229354,73847411,67513963
70333094,71704509,69671298,69070532,69105768,71606151,68842687
68021369,68473271,67502520,67167400,67382190,70203435,67324166
70190548,69864566,70228851,70870498,70247772,71261547,69117061
71736980,69905967,69649740,70058609,70361018,72418433,69042538
70548176,71531654,70727123,69067153,70156250,73119680,69256324
69941821,72367684,69688234,68375762,69478343,70313105,69283626
70425410,69712193,69773590,70086547,69707533,72312124,68119890
70576391,68158773,68577124,67248678,67712273,66295946,69349310
69384312,73147158,71359124,72313179,72341612,76643825,73025089
69080104,68838294,69233180,68386525,68553998,73142370,67301752
70054854,68901082,68287210,68995350,68848768,69038643,69143406
69281370,67855190,67458694,67371473,67116101,66915034,67543339
69178218,69595255,68604940,67415415,67815197,66961480,68158163
69601436,71339074,70512221,70628763,70272683,70664928,68832116
69764737,69262054,69580006,69616666,69798620,66695842,68052618
67469624,69945549,70153983,69462443,69367657,71165736,70550111
70169140,70922837,68629080,68901419,68785425,71623676,70782344
69022119,69926134,70316357,70802295,70970419,70281330,70027480
67742152,71370370,70496650,70585425,70703273,69877031,67999648
67362400,69412923,68212474,68057053,68181029,69511338,67285159
69787741,72901796,69722604,70282761,69997859,72603141,70241280
69053009,68663789,67942140,67126316,67408405,65696158,66985220
69143751,70183189,69519817,69700215,69156762,72181546,68239834
69415771,69791119,70431377,71084463,70625691,71928863,69755548
69526468,67792806,68069562,68095000,67511640,65697576,67356230
69222432,70304972,67756174,68208400,65838998,69716174,65576796
68735628,68378553,67499153,66945882,67938571,67072804,66804204
70016630,69473333,69245265,69100849,69473714,70503649,69093196
69461178,70563880,70886657,71075373,70550815,71775366,71444857
69845438,70348519,69804783,69646219,70298339,65952475,69949197
69349577,67515220,68511939,68564060,68273313,69560040,67871750
69856563,70094786,69741427,69669689,69002276,71222113,67434499
69131637,71372879,70230335,70876807,70624580,70034067,69814004
69992993,69796573,70012195,70237153,69708912,71437895,70977321
69819725,70740476,70185997,70489017,70093532,67810602,69269748
69897660,71567119,70519954,69614834,70212266,72506051,72231147
71238868,69414745,68709961,68150611,68259801,70061707,68173563
69335599,69999008,70014509,68004145,68520704,72839322,69624266
70540165,71288068,69931644,68242334,67778791,66450266,68453129
69369691,75002940,71404105,71143813,72195840,70043897,75044731
69582997,69466690,69541687,68557963,69503569,73546394,69581733
69140586,70168624,69484793,69796517,69974577,72368465,70895716
69912344,71928731,69664676,69905014,70070567,71234218,72295021
69733170,70115139,69831359,69047500,68842739,69145652,71126534
68742535,71317206,68619559,68078174,68990059,66941703,68126426
67921169,67907924,67317601,67971438,67922989,70248187,66173537
70173681,71438116,71254715,71237997,70858871,72371640,71340807
69101376,67497481,67822803,68184849,67745107,67375748,71290878
70184728,71708612,71393298,71610018,71250680,73418241,71392697
69043534,71930000,71039931,70004949,68573371,74502497,69569751
68827339,68311274,69077421,68479159,68317119,69469104,69021253
69421457,66846333,66940533,66360552,65879330,68160775,66788801
68565108,69146811,69169390,69967519,69541018,68476592,69022590
70134752,71685466,70716317,69870608,69981342,67546405,69983091
69977723,68833391,69053734,69553780,69588406,70513652,70179194
69062187,68051936,67704115,67893666,67541911,68974827,67758818
68804850,70035861,70495343,69473434,69415833,71163797,69367496
70159749,70977305,70627230,70509190,70291638,70137335,70536519
70272112,72155406,72622713,72301698,72335352,72419683,71309019
69299229,69096694,68027904,67848120,68075610,69318142,68646166
70219972,68541858,68798612,68739882,68920642,65964198,71322776
70066481,70860725,70639213,69916613,69677039,71775814,70454277
70508227,70348360,68682375,68326618,68224090,67170362,68081133
69982178,69968721,70225598,69866559,69509194,68288878,69821655
70458560,67155330,68563856,67603559,67765863,66630159,69122067
69580034,67459929,67484299,67114598,66684460,74094263,66546713
69771013,70308088,70066291,71511721,70859367,67771583,71222593
68394710,69566181,69527446,68696237,69733944,70776025,70509543
70258406,68440480,68788846,69097858,67992344,68961058,68526399
69515678,67990168,68572664,69953392,69007791,74476234,70157157
70930909,68680738,68642258,67926716,68602552,66327772,68176057
70460209,72103381,70538910,69858235,70441684,68610663,66762725
70429629,69800425,69999041,69589894,69246420,71040679,67413920
68566733,69690273,69203050,69010134,69171081,67301307,67371467
68887597,69485740,68495577,68970734,68763401,71112412,69865143
