    eta max_depth mean_scores best_nrounds
1  0.20         1    1.265315          311
2  0.30         1    1.265648          197
3  0.10         1    1.266333          536
4  0.05         1    1.266687         1000
5  0.10         2    1.267963          285
6  0.05         2    1.268234          559
7  0.30         2    1.268708           83
8  0.20         2    1.268719          129
9  0.20         3    1.270547           94
10 0.30         3    1.270952           53
11 0.05         3    1.272628          314
12 0.10         3    1.273476          180
13 0.05         4    1.277719          287
14 0.10         4    1.277788          130
15 0.30         4    1.278347           44
16 0.20         5    1.280402           59
17 0.20         4    1.282851           76
18 0.30         5    1.284135           43
19 0.10         5    1.284299          123
20 0.05         5    1.287025          244
21 0.10         6    1.297864          114
22 0.05         6    1.300952          241
23 0.20         6    1.304559           58
24 0.30         6    1.307597           39
25 0.30         7    1.309231           37
26 0.10         7    1.314433          117
27 0.20         7    1.319440           54
28 0.05         7    1.326850          242

   eta max_depth mean_scores best_nrounds
1 0.10         1    1.265461          631
2 0.20         1    1.265462          394
3 0.30         1    1.265932          193
4 0.05         1    1.266480         1157
