settlement
    eta max_depth mean_scores best_nrounds
1  0.35         1   0.6112753           70
2  0.80         1   0.6113866           20
3  0.60         2   0.6113911           11
4  0.50         1   0.6114134           32
5  0.05         1   0.6114210          613
6  0.25         1   0.6114235           91
7  1.00         1   0.6114590           22
8  0.10         3   0.6115347           54
9  0.90         3   0.6115692            3
10 0.25         3   0.6115962           14
11 0.55         1   0.6116047           61
12 0.05         3   0.6116322          109
13 0.25         2   0.6116400           52
14 0.40         3   0.6117112           11
15 0.90         2   0.6118237           17
16 0.85         2   0.6118319            6
17 0.10         2   0.6118561           90
18 0.30         3   0.6118822           13
19 0.80         2   0.6119124            6
20 1.00         2   0.6121353           12

    eta max_depth mean_scores best_nrounds
1  0.55         1   0.6112571           47
2  0.65         1   0.6113545           41
3  0.05         1   0.6113568          655
4  0.80         1   0.6113779           46
5  0.95         1   0.6114178           34
6  0.70         1   0.6114301           45
7  0.35         1   0.6114369           65
8  0.20         1   0.6114389          124
9  0.85         1   0.6114550           24
10 0.40         1   0.6114793           64
11 0.10         1   0.6114905          379
12 1.00         1   0.6114939           16
13 0.75         1   0.6114957           28
14 0.15         1   0.6115027          291
15 0.45         1   0.6115049           43
16 0.90         1   0.6115176           22
17 0.60         1   0.6115218           56
18 0.30         1   0.6115324          101
19 0.25         1   0.6115363          151
20 0.50         1   0.6116284           41

payment
    eta max_depth mean_scores best_nrounds
1  0.05         2   0.5764619          182
2  0.35         3   0.5766242           12
3  0.15         2   0.5767911           47
4  0.50         3   0.5768670            9
5  0.75         3   0.5768843            5
6  0.65         3   0.5771302            6
7  0.55         2   0.5771490           10
8  1.00         3   0.5772082            2
9  1.00         2   0.5776346            3
10 0.55         3   0.5777052            5
11 0.65         1   0.5783137           23
12 0.95         1   0.5783613           17
13 0.75         1   0.5783741           19
14 0.70         1   0.5783993           16
15 0.45         1   0.5784081           35
16 0.30         1   0.5784326           65
17 0.40         1   0.5784777           47
18 1.00         1   0.5785183           19
19 0.35         1   0.5785313           53
20 0.80         1   0.5785377           16

    eta max_depth mean_scores best_nrounds
1  0.85         3   0.5765648            4
2  0.70         3   0.5766375            7
3  0.05         3   0.5766704           98
4  0.30         3   0.5766988           17
5  0.80         3   0.5766997            4
6  0.40         3   0.5767152           10
7  0.55         3   0.5767542            9
8  0.35         3   0.5767718           13
9  0.50         3   0.5768796            8
10 0.25         3   0.5769084           21
11 0.95         3   0.5769356            3
12 0.45         3   0.5769434           10
13 0.90         3   0.5770137            3
14 0.10         3   0.5770601           46
15 0.20         3   0.5770806           21
16 1.00         3   0.5771433            2
17 0.15         3   0.5771911           29
18 0.65         3   0.5772195            5
19 0.60         3   0.5775716            4
20 0.75         3   0.5777800            5

size
    eta max_depth mean_scores best_nrounds
1  0.30         1    1.265447          211
2  0.95         1    1.265501           46
3  0.75         1    1.265883           72
4  0.05         1    1.266731         1000
5  0.70         1    1.266896           57
6  0.85         1    1.267215           53
7  0.65         2    1.267729           31
8  0.20         2    1.267777          158
9  0.35         3    1.268022           56
10 0.50         2    1.268134           51
11 0.25         2    1.268520          114
12 0.35         2    1.268828           71
13 0.40         3    1.268938           38
14 0.10         2    1.269467          276
15 0.20         3    1.271722           81
16 0.80         2    1.272306           35
17 0.15         3    1.273028          103
18 0.90         3    1.273052           16
19 0.55         3    1.273472           28
20 0.75         3    1.274039           21

    eta max_depth mean_scores best_nrounds
1  0.95         1    1.264995           57
2  0.85         1    1.265002           60
3  1.00         1    1.265544           50
4  0.10         1    1.265615          617
5  0.45         1    1.265650          117
6  0.50         1    1.265833          133
7  0.55         1    1.265845          121
8  0.65         1    1.265871           84
9  0.30         1    1.265885          209
10 0.75         1    1.265972           65
11 0.20         1    1.265997          314
12 0.35         1    1.266022          182
13 0.90         1    1.266030           61
14 0.15         1    1.266129          379
15 0.05         1    1.266152         1000
16 0.60         1    1.266204           90
17 0.40         1    1.266296          148
18 0.80         1    1.266485           66
19 0.70         1    1.266485           90
20 0.25         1    1.266577          263
